president,year_born,year_died,year_inaugurated,year_left_office,party
George Washington,1732,1799,1789,1797,Independent
John Adams,1735,1826,1797,1801,Federalist
Thomas Jefferson,1743,1826,1801,1809,Democratic
James Madison,1752,1836,1809,1817,Democratic
James Monroe,1758,1831,1817,1825,Democratic
John Quincy Adams,1767,1848,1825,1829,Democratic
Andrew Jackson,1767,1845,1829,1837,Democratic
Martin Van Buren,1782,1862,1837,1841,Democratic
William Henry Harrison,1773,1841,1841,1841,Whig
John Tyler,1790,1862,1841,1845,Whig
James K. Polk,1795,1849,1845,1849,Democratic
Zachary Taylor,1784,1850,1849,1850,Whig
Millard Fillmore,1800,1874,1850,1853,Whig
Franklin Pierce,1804,1869,1853,1857,Democratic
James Buchanan,1791,1868,1857,1861,Democratic
Abraham Lincoln,1809,1865,1861,1865,Republican
Andrew Johnson,1808,1875,1865,1869,Democratic
Ulysses S. Grant,1822,1885,1869,1877,Republican
Rutherford B. Hayes,1822,1893,1877,1881,Republican
James A. Garfield,1831,1881,1881,1881,Republican
Chester A. Arthur,1829,1886,1881,1885,Republican
Grover Cleveland,1837,1908,1885,1889,Democratic
Benjamin Harrison,1833,1901,1889,1893,Republican
Grover Cleveland,1837,1908,1893,1897,Democratic
William McKinley,1843,1901,1897,1901,Republican
Theodore Roosevelt,1858,1919,1901,1909,Republican
William Howard Taft,1857,1930,1909,1913,Republican
Woodrow Wilson,1856,1924,1913,1921,Democratic
Warren G. Harding,1865,1923,1921,1923,Republican
Calvin Coolidge,1872,1933,1923,1929,Republican
Herbert Hoover,1874,1964,1929,1933,Republican
Franklin D. Roosevelt,1882,1945,1933,1945,Democratic
Harry S. Truman,1884,1972,1945,1953,Democratic
Dwight D. Eisenhower,1890,1969,1953,1961,Republican
John F. Kennedy,1917,1963,1961,1963,Democratic
Lyndon B. Johnson,1908,1973,1963,1969,Democratic
Richard Nixon,1913,1994,1969,1974,Republican
Gerald Ford,1913,2006,1974,1977,Republican
Jimmy Carter,1924,2018,1977,1981,Democratic
Ronald Reagan,1911,2004,1981,1989,Republican
George H. W. Bush,1924,2018,1989,1993,Republican
Bill Clinton,1946,2018,1993,2001,Democratic
George W. Bush,1946,2018,2001,2009,Republican
Barack Obama,1961,2018,2009,2017,Democratic
Donald Trump,1946,2018,2017,2018,Republican
